reader 0 created.
reader 4 created.
reader 1 created.
reader 2 created.
reader 4 on iteration 76. sharedBuffer is 40.
reader 2 on iteration 69. sharedBuffer is 40.
reader 1 on iteration 76. sharedBuffer is 40.
reader 1 on iteration 77. sharedBuffer is 40.
reader 1 on iteration 78. sharedBuffer is 40.
reader 2 on iteration 70. sharedBuffer is 40.
reader 3 on iteration 50. sharedBuffer is 40.
reader 4 on iteration 77. sharedBuffer is 40.
reader 0 on iteration 97. sharedBuffer is 40.
reader 3 on iteration 51. sharedBuffer is 40.
reader 1 on iteration 79. sharedBuffer is 40.
reader 2 on iteration 71. sharedBuffer is 40.
reader 0 on iteration 98. sharedBuffer is 40.
reader 2 on iteration 72. sharedBuffer is 40.
reader 1 on iteration 80. sharedBuffer is 40.
reader 4 on iteration 78. sharedBuffer is 40.
reader 3 on iteration 52. sharedBuffer is 40.
reader 0 on iteration 99. sharedBuffer is 40.
reader 3 on iteration 53. sharedBuffer is 40.
reader 2 on iteration 73. sharedBuffer is 40.
reader 3 on iteration 54. sharedBuffer is 40.
reader 3 on iteration 55. sharedBuffer is 40.
reader 3 on iteration 56. sharedBuffer is 40.
reader 2 on iteration 74. sharedBuffer is 40.
reader 1 on iteration 81. sharedBuffer is 40.
reader 4 on iteration 79. sharedBuffer is 40.
reader 2 on iteration 75. sharedBuffer is 40.
reader 4 on iteration 80. sharedBuffer is 40.
reader 3 on iteration 57. sharedBuffer is 40.
reader 0 on iteration 100. sharedBuffer is 40.
reader 3 on iteration 58. sharedBuffer is 40.
reader 1 on iteration 82. sharedBuffer is 40.
reader 4 on iteration 81. sharedBuffer is 40.
reader 3 on iteration 59. sharedBuffer is 40.
reader 1 on iteration 83. sharedBuffer is 40.
reader 3 on iteration 60. sharedBuffer is 40.
reader 0 on iteration 101. sharedBuffer is 40.
reader 1 on iteration 84. sharedBuffer is 40.
reader 1 on iteration 85. sharedBuffer is 40.
reader 1 on iteration 86. sharedBuffer is 40.
reader 1 on iteration 87. sharedBuffer is 40.
reader 1 on iteration 88. sharedBuffer is 40.
reader 1 on iteration 89. sharedBuffer is 40.
reader 2 on iteration 76. sharedBuffer is 40.
reader 1 on iteration 90. sharedBuffer is 40.
reader 1 on iteration 91. sharedBuffer is 40.
reader 1 on iteration 92. sharedBuffer is 40.
reader 1 on iteration 93. sharedBuffer is 40.
reader 2 on iteration 77. sharedBuffer is 40.
